ts,seq,cmd_type,relay_rtt_ms,authority
123.036,3166,speedj,56,operator
123.059,3167,speedj,56,operator
123.076,3168,speedj,56,operator
123.097,3169,speedj,56,operator
123.116,3170,speedj,56,operator
123.136,3171,speedj,35,operator
123.158,3172,speedj,35,operator
123.177,3173,speedj,35,operator
123.196,3174,speedj,35,operator
123.216,3175,speedj,35,operator
123.237,3176,speedj,35,operator
123.256,3177,speedj,35,operator
123.276,3178,speedj,35,operator
123.296,3179,speedj,35,operator
123.316,3180,speedj,35,operator
123.336,3181,speedj,35,operator
123.358,3182,speedj,35,operator
123.376,3183,speedj,36,operator
123.397,3184,speedj,36,operator
123.417,3185,speedj,36,operator
123.437,3186,speedj,36,operator
123.456,3187,speedj,36,operator
123.477,3188,speedj,36,operator
123.496,3189,speedj,36,operator
123.516,3190,speedj,36,operator
123.537,3191,speedj,36,operator
123.557,3192,speedj,36,operator
123.576,3193,speedj,36,operator
123.596,3194,speedj,36,operator
123.617,3195,speedj,36,operator
123.636,3196,speedj,57,operator
123.659,3197,speedj,57,operator
123.676,3198,speedj,57,operator
123.696,3199,speedj,57,operator
123.716,3200,speedj,57,operator
123.737,3201,speedj,57,operator
123.759,3202,speedj,57,operator
123.776,3203,speedj,57,operator
123.796,3204,speedj,57,operator
123.817,3205,speedj,57,operator
123.836,3206,speedj,57,operator
123.858,3207,speedj,57,operator
123.876,3208,speedj,57,operator
123.896,3209,speedj,54,operator
123.916,3210,speedj,54,operator
123.937,3211,speedj,54,operator
123.958,3212,speedj,54,operator
123.976,3213,speedj,54,operator
123.997,3214,speedj,54,operator
124.017,3215,speedj,54,operator
124.036,3216,speedj,54,operator
124.056,3217,speedj,54,operator
124.076,3218,speedj,54,operator
124.096,3219,speedj,54,operator
124.117,3220,speedj,54,operator
124.137,3221,speedj,54,operator
124.157,3222,speedj,54,operator
124.177,3223,speedj,54,operator
124.196,3224,speedj,54,operator
124.217,3225,speedj,54,operator
124.237,3226,speedj,54,operator
124.257,3227,speedj,54,operator
124.276,3228,speedj,54,operator
124.297,3229,speedj,54,operator
124.316,3230,speedj,54,operator
124.337,3231,speedj,243,operator
124.358,3232,speedj,243,operator
124.377,3233,speedj,243,operator
124.396,3234,speedj,53,operator
124.416,3235,speedj,53,operator
124.436,3236,speedj,53,operator
124.458,3237,speedj,53,operator
124.464,3238,speedj_stop,53,operator
127.279,3239,speedj,33,operator
127.301,3240,speedj,33,operator
127.32,3241,speedj,33,operator
127.342,3242,speedj,33,operator
127.36,3243,speedj,33,operator
127.38,3244,speedj,37,operator
127.4,3245,speedj,37,operator
127.421,3246,speedj,37,operator
127.44,3247,speedj,37,operator
127.46,3248,speedj,37,operator
127.481,3249,speedj,37,operator
127.501,3250,speedj,37,operator
127.52,3251,speedj,37,operator
127.54,3252,speedj,37,operator
127.561,3253,speedj,37,operator
127.581,3254,speedj,37,operator
127.6,3255,speedj,37,operator
127.621,3256,speedj,37,operator
127.642,3257,speedj,33,operator
127.661,3258,speedj,33,operator
127.681,3259,speedj,33,operator
127.7,3260,speedj,33,operator
127.72,3261,speedj,33,operator
127.742,3262,speedj,33,operator
127.76,3263,speedj,33,operator
127.78,3264,speedj,33,operator
127.8,3265,speedj,33,operator
127.82,3266,speedj,33,operator
127.842,3267,speedj,33,operator
127.86,3268,speedj,33,operator
127.88,3269,speedj,36,operator
127.9,3270,speedj,36,operator
127.92,3271,speedj,36,operator
127.942,3272,speedj,36,operator
127.961,3273,speedj,36,operator
127.98,3274,speedj,36,operator
128.0,3275,speedj,36,operator
128.02,3276,speedj,36,operator
128.042,3277,speedj,36,operator
128.06,3278,speedj,36,operator
128.08,3279,speedj,36,operator
128.101,3280,speedj,36,operator
128.121,3281,speedj,36,operator
128.142,3282,speedj,46,operator
128.16,3283,speedj,46,operator
128.18,3284,speedj,46,operator
128.2,3285,speedj,46,operator
128.22,3286,speedj,46,operator
128.242,3287,speedj,46,operator
128.26,3288,speedj,46,operator
128.281,3289,speedj,46,operator
128.301,3290,speedj,46,operator
128.32,3291,speedj,46,operator
128.342,3292,speedj,46,operator
128.361,3293,speedj,46,operator
128.38,3294,speedj,37,operator
128.4,3295,speedj,37,operator
128.421,3296,speedj,37,operator
128.442,3297,speedj,37,operator
128.46,3298,speedj,37,operator
128.481,3299,speedj,37,operator
128.501,3300,speedj,37,operator
128.52,3301,speedj,37,operator
128.542,3302,speedj,37,operator
128.56,3303,speedj,37,operator
128.58,3304,speedj,37,operator
128.6,3305,speedj,37,operator
128.621,3306,speedj,37,operator
128.642,3307,speedj,41,operator
128.66,3308,speedj,41,operator
128.68,3309,speedj,41,operator
128.7,3310,speedj,41,operator
128.72,3311,speedj,41,operator
128.742,3312,speedj,41,operator
128.761,3313,speedj,41,operator
128.78,3314,speedj,41,operator
128.8,3315,speedj,41,operator
128.82,3316,speedj,41,operator
128.84,3317,speedj,41,operator
128.86,3318,speedj,41,operator
128.88,3319,speedj,41,operator
128.901,3320,speedj,42,operator
128.92,3321,speedj,42,operator
128.94,3322,speedj,42,operator
128.96,3323,speedj,42,operator
128.98,3324,speedj,42,operator
129.001,3325,speedj,42,operator
129.02,3326,speedj,42,operator
129.042,3327,speedj,42,operator
129.06,3328,speedj,42,operator
129.08,3329,speedj,42,operator
129.101,3330,speedj,42,operator
129.12,3331,speedj,42,operator
129.143,3332,speedj,54,operator
129.16,3333,speedj,54,operator
129.181,3334,speedj,54,operator
129.2,3335,speedj,54,operator
129.221,3336,speedj,54,operator
129.242,3337,speedj,54,operator
