ts,t_ms,q0,q1,q2,q3,q4,q5,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,role,authority
"2026-05-19T13:23:41.318Z","1779197021318","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:41.597Z","1779197021597","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:41.877Z","1779197021877","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:42.083Z","1779197022083","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:42.382Z","1779197022382","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:42.606Z","1779197022606","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:42.898Z","1779197022898","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:43.169Z","1779197023169","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:43.436Z","1779197023436","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:43.672Z","1779197023672","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
